BBL,BldgClass,LotArea,BldgArea,HistDist,Landmark,OwnerName
1000250019,D9,24572,518034,,BROAD EXCHANGE BUILDING,25 BROAD STREET L/CAL
1000250027,O3,14970,237000,,,40 EXCHANGE PLACE COR
1000257501,RM,23649,377483,,,
1000260014,D5,18016,377214,,,WHW ASSOCIATES
1000260021,D9,20249,493187,,,45 WALL ST. L.L.C.
1000267501,RM,39846,810798,,J.P. MORGAN & COMPANY,
1000270009,D5,17623,400531,,,RBNB WALL STREET OWNE
1000270017,D5,12127,303175,,,RBNB 67 WALL STREET O
1000277501,RM,31469,188278,,FIRST NATIONAL CITY BANK,CIPRIANUI CLUB RESIDE
1000277502,RM,24524,724299,,CITY BANK-FARMERS TRUST CO BLDG,TWENTY EXCHANGE PLACE
1000280001,D0,11934,239121,,,3 HANOVER SQUARE OWNE
1000280005,O3,12919,292466,,,5 HANOVER SQUARE (NY)
1000280012,O3,3945,95325,,,11 HANOVER SQUARE COR
1000280015,K4,1833,7252,,,CALLAGHAN ENTERPRISES
1000280028,Q1,5075,0,,,PARKS AND RECREATION
1000287501,RM,7120,93544,,BEAVER BUILDING,COCOA EXCHANGE CONDO
1000290001,O4,42762,993569,,,85 BROAD STREET LLC
1000290019,Q9,2048,0,Stone Street,,DEPT OF TRANSPORTATIO
1000290022,K4,2203,7246,Stone Street,,HVW ASSOCIATES
1000290023,K4,2025,7875,Stone Street,,46 STONE LLC C/O 46 S
1000290024,K9,1885,7540,Stone Street,,"LOUISE PROPERTIES, IN"
1000290025,K9,1685,8660,Stone Street,,F.W.P. REALTY CORP.
1000290026,S4,1839,7336,Stone Street,,"AGIRA REALTY, LLC"
1000290029,K4,2399,12000,Stone Street,,"93 PEARL, LLC"
1000290036,O3,8409,105000,,J. & W. SELIGMAN & CO. BUILDING,INTESA SANPAOLO S.P.A
1000290043,HB,3234,24238,Stone Street,,SOUTH WILLIAM ST ASSO
1000290045,K9,1443,3469,Stone Street,,"WILLIAM REALTY, LLC."
1000290046,S3,1502,6008,Stone Street,,STONE EAGLE LLC
1000290047,S9,1738,8690,Stone Street,,STONE EAGLE LLC
1000290048,S3,1824,10944,Stone Street,,19 SOUTH WILLIAM LLC
1000290070,O3,26068,661283,,,75 BROAD LLC
1000290073,O3,9010,97596,,,SANITATION
1000290086,G1,11398,87775,,,"MARX, MOSES"
1000297501,RM,9150,61238,,DELMONICO'S BUILDING,
1000297502,RK,9200,35559,Stone Street,HANOVER BANK,INDIA HOUSE CONDOMINI
1000297503,RM,4377,25483,Stone Street,,
1000297504,RM,3665,19230,Stone Street,,
1000300001,S9,1844,8115,,,COENTIES SLIP AND PEA
1000300003,S9,1733,8665,,,"PEARL ST. HOLDING, LL"
1000300004,V1,2291,0,,,WATER/PEARL ASSOCIATE
1000300005,L2,7800,85472,,,WATER/PEARL ASSOCIATE
1000300019,O4,35496,782883,,,SEVEN HANOVER ASSOCIA
1000300032,S3,1634,6336,,,"WATER HOLDINGS, LLC"
1000300033,S9,1504,5484,,,"WATER HOLDINGS, LLC"
1000300034,O1,1462,7050,,,"40 WATER STREET, LLC"
1000310001,D6,24400,487404,,,UDR 10 HANOVER LLC
1000310010,K4,1867,6800,,,LONGFORE REALTY INC
1000310034,O9,979,6487,,,HUNTERS KEY LLC
1000317501,RM,30794,346253,,,75 WALL ST. CONDO
1000327501,RB,160692,3583167,,,NEW WATER STREET CORP
1000330001,O4,25779,541568,,,WATER STREET FEE LLC
1000330011,D5,22957,473460,,,NINETY FIVE WALL STRE
1000330022,O3,4319,91358,,,99 WALL DEVELOPMENT I
1000340037,P7,11346,19568,,FIRST PRECINCT POLICE STATION,CULTURAL AFFAIRS
1000350001,O4,42176,973587,,,OLD SLIP PROPERTY LLC
1000350010,O4,48741,990250,,,"230 CENTRAL CO., LLC"
1000360012,Y7,320800,320800,,,DEPT OF SMALL BUSINES
1000360018,T2,199625,199625,,,DEPT OF TRANSPORTATIO
1000360025,T2,202275,202275,,,DEPT OF SMALL BUSINES
1000360030,T2,169425,169425,South Street Seaport,,DEPT OF SMALL BUSINES
1000370001,O3,23475,582412,,,120 WALL CO
1000370008,O3,17017,295376,,,110 WALL STREET L.P.
1000370013,H3,4685,34613,,,129 FRONT HOTEL LLC
1000370023,O4,46799,1079361,,,ALMAH LLC
1000380001,O4,22399,463664,,,100 WALL STREET PROPE
1000380017,O3,27600,566858,,,ORIENT OVERSEAS ASSOC
1000390001,O3,4957,53253,,,THE OTTO GERDAV CO
1000390004,O3,4179,50044,,,OTTO GERDAU CO.
1000390006,O9,4235,22614,,,160 PEARL ASSOCIATES
1000390012,O4,48946,1075808,,,80 PINE LLC
1000390038,H3,2562,42568,,,HHLP WATER STREET ASS
1000390040,C5,1608,5811,,,N.Y. TIMES SQUARE HOT
1000390041,C5,1269,7470,,,N.Y. TIMES SQUARE HOT
1000397501,RM,10576,90163,,,THE SEAPORT SO CONDO
1000400003,O4,53632,1617206,,,PGREF II 60 WALL STRE
1000400014,O4,12175,281755,,BANK OF NY & TRUST CO BLDG,48 WALL LLC
1000400016,H3,6497,119467,,,"RCQ HOTEL FD, LLC"
1000407501,RB,22014,289494,,,75 WALL ASSOCIATES
1000410015,H5,9530,0,,DOWN TOWN ASSOCIATION BUILDING,DOWNTOWN ASSN
1000410022,M1,6003,24000,,,CH OUR LADY VICTORY
1000410024,O1,4613,42000,,,B.M.S. REALTY ASSOCIA
1000417501,RM,4116,32466,,,ANDREWS BUILDING
1000417502,RM,2496,11568,,,
1000417503,RM,6488,66470,,56-58 PINE STREET BUILDING,
1000417504,RC,31722,996941,,CITIES SERVICE BUILDING,
1000420001,D6,17684,290116,,,MAIDEN LANE PROPERTI
1000420022,D8,18833,387000,,,LIBERTY STREET REALTY
1000420031,O3,20684,527605,,,WASSCO LLC
1000420036,O9,6881,33529,,90-94 MAIDEN LANE BUILDING,WASSCO LLC
1000430001,O3,14213,289049,,,"44 WALL OWNERS, LLC"
1000430002,O4,34360,1061266,,MANHATTAN COMPANY BUILDING,NEW SCANDIC WALL LP
1000430005,O3,11400,108663,,,30 W.S.L.L.C. C/O THE
1000430006,Z9,17200,23199,,UNITED STATES CUSTOM HOUSE,US GOVERNMENT
1000440001,O4,112555,2224000,,ONE CHASE MANHATTAN PLAZA,SUMMIT GLORY LLC
1000447501,RM,22742,461169,,,
1000460001,O3,8615,173159,,,FIELDSTONE CAPITAL IN
1000460003,O3,14950,364390,,AMERICAN SURETY COMPANY BLDG,NW 100 BROADWAY PROPE
1000460009,O4,32947,839749,,BANKERS TRUST BUILDING,ROZA 14W LLC
1000477501,RB,49614,1736513,,EQUITABLE BUILDING,120 BROADWAY CONDO BO
1000480001,O3,52636,1141266,,140 BROADWAY,140 BW LLC
1000490001,M1,98432,15928,,TRINITY CHURCH AND GRAVEYARD,PARISH OF TRINITY CHR
1000490002,O3,18615,432093,,TRINITY BUILDING,TRINITY CENTRE LLC.
1000500001,O3,16620,396607,,UNITED STATES REALTY BUILDING,"TRINITY CENTRE, LLC"
1000510001,O3,17626,400294,,,"2 RECTOR STREET (NY),"
1000510007,O3,16844,246106,,,"RECTOR, CHURCHWRDNSET"
1000510013,O9,26800,181725,,NEW YORK CURB EXCHANGE,86 TRINITY PLACE LLC
1000510014,V1,9067,0,,,VS 125 LLC
1000510015,W1,5882,83362,,,90-100 TRINITY OWNER
1000520001,W6,10989,102591,,,90-100 TRINITY OWNER
1000520008,V1,6109,130054,,,133 GREENWICH STREET
1000520010,D5,3795,18319,,,JASOTA & SONS LLC
1000520015,K2,790,1580,,,NICK SPYREAS ENTERPRI
1000520021,D7,5166,57945,,,120 LIBERTY STREET AS
1000520022,Y1,4381,8008,,,FIRE DEPARTMENT
1000520030,K4,2662,13300,,,111 CEDAR ST CO
1000527501,RM,6100,40089,,,"BALDWIN REALTY, AGENT"
1000527502,RX,6517,64510,,,
