Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BOTH,HistDist Only,Landmark Only,Neither,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,Shape_Leng,Shape_Area
MN,2131,8,112,261,1001,6,10,10033,E067,33,17,400,1,12,2A,1294 ST NICHOLAS AVENUE,R7-2,,,,C2-4,,,,,,N,M1,8,0,X,RC CHUR OF INCARNATIO,10500,37400,37400,0,0,0,0,0,0,37400,2,1,2,0,1,75,130,75,129,,0,Y,3,2,295650,1680300,295650,1680300,1940,0,0,,,0,0,0,1,3.56,3.44,0,6.5,1,1021310008,0,261,1001858,247164,3b,,112 008,10801,,0,,1,,,18v2,479.6208597,11667.03988
MN,2083,35,109,237,1000,6,7,10031,L034,30,17,610,1,9,3B,1854 AMSTERDAM AVENUE,R7A,,,,C2-4,,,,,,N,M9,8,0,,ST LUKE A M E CHURCH,4992,16775,16775,0,0,0,0,0,0,16775,2,1,4,0,1,49.92,100,49,100,,0,N,3,2,70200,960300,70200,912290,1925,1992,0,,INDIVIDUAL LANDMARK,0,0,1,0,3.36,4,0,4,1,1020830035,0,237,999532,241543,3b,,111N063,10710,,1020830033,04/19/1988,1,,,18v2,313.7380436,5393.11087
MN,350,48,103,22.01,1002,1,2,10002,L018,7,14,7600,1,3,2A,10 CLINTON STREET,R7A,,,,C1-5,,,,,,N,M1,8,0,X,CONG ANSCHE GYENSTOCH,5500,7153,7153,0,0,0,0,0,0,7153,2,1,2,0,0,55,100,48,70,E,0,N,5,0,297900,883800,297900,883800,1923,0,0,,,0,0,0,1,1.3,4,0,4,1,1003500048,0,2201,988727,201927,12c,,102 005,10201,,0,,1,,,18v2,312.251268,5514.633595
MN,1723,164,110,200,2000,5,9,10027,L014,28,11,1500,1,10,1B,72 WEST 126 STREET,R6A,,,,,,125th,,,,N,M3,8,0,X,EVANGELICAL LUTHERAN,1249,2097,2097,0,0,0,0,0,0,2097,2,1,3,0,1,12.5,99.92,13,54,,3,N,5,1,10800,34200,10800,34200,1910,1986,0,,,0,0,0,1,1.68,3,0,3,1,1017230164,0,200,999671,233621,6a,,107N090,10607,,0,,1,,,18v2,224.81761,1140.36768
MN,9,7,101,9,1020,2,1,10004,L015,1,15,7700,1,1,1B,7 STATE STREET,C5-5,,,,,,LM,,,,N,M1,8,0,X,THE MISSION OF OUR LA,6037,8685,8685,0,0,0,0,0,0,8685,2,1,4.5,0,1,60.75,105.75,60,105,,2,Y,5,1,1683000,3202650,1683000,3202650,1954,1965,0,,INDIVIDUAL LANDMARK,0,0,1,0,1.44,10,15,15,1,1000090007,0,9,980457,195256,12b,,101S001,10101,,0,,1,1,1,18v2,338.5521249,7012.804272
MN,1666,15,111,188,3000,4,8,10029,L026,25,12,2100,1,11,2B,233 EAST 116 STREET,R7D,,,,C1-5,,EHC,,,,N,M1,8,0,X,FIRST SHARON BPTST CH,4037,4298,4298,0,0,0,0,0,0,4298,2,1,2,0,1,40,100.92,40,101,E,3,N,5,2,55800,162000,55800,162000,1910,0,0,,,0,0,0,1,1.06,4.2,0,4.2,1,1016660015,0,188,1001282,229875,6b,,108N075,10604,,0,,1,,,18v2,286.7347678,4163.943003
MN,273,16,103,6,1002,2,1,10002,E015,7,14,7800,1,3,1B,189 MADISON STREET,R7-2,,,,,,,,,,N,M9,8,0,,PENTECOSTAL EL MESIAS,2383,6350,2300,4050,0,0,0,0,0,2300,2,1,5,3,3,23.83,100,23.83,45,E,0,N,5,0,172800,745200,172800,707235,1900,1964,0,,,0,0,0,1,2.66,3.44,0,6.5,1,1002730016,0,6,986811,198978,12d,,101N054,10107,,0,,1,,,18v2,254.0210965,2519.286803
MN,446,3,103,38,5001,1,2,10003,E028,9,14,6500,1,3,3B,76 2 AVENUE,R7A,,,,C2-5,,,,,,N,M1,8,0,X,SPANISH EVANGELICAL C,2400,6708,6708,0,0,0,0,0,0,6708,2,1,3,0,2,24,100,24,90,,3,N,5,2,176400,492750,176400,492750,1920,1965,0,East Village / Lower East Side Historic District,,0,1,0,0,2.8,4,0,4,1,1004460003,0,38,987309,203878,12c,,102 010,10205,E-216,0,,1,,,18v2,255.4898189,2475.228153
MN,2013,6,110,232,1001,5,9,10030,E059,32,11,800,1,10,4B,147 WEST 144 STREET,R7-2,,,,,,,,,,N,M1,8,0,X,ST THOS LIB CATH CH,5995,5925,5925,0,0,0,0,0,0,5925,2,1,2,0,1,60,99.92,48,100,,1,N,5,2,119700,507600,119700,507600,1960,0,0,,,0,0,0,1,0.99,3.44,0,6.5,1,1020130006,0,232,1001193,238352,6a,,111S042,10708,,0,,1,,,18v2,321.2618815,6019.635685
MN,273,18,103,6,1002,2,1,10002,E015,7,14,7800,1,3,1B,193 MADISON STREET,R7-2,,,,,,,,,,N,M2,8,0,X,LOWER MANHATTAN SPANI,2383,2380,2380,0,0,0,0,0,0,2380,2,1,1,0,1,23.83,100,24,100,,3,N,5,0,158400,381150,158400,381150,1963,0,0,,,0,0,0,1,1,3.44,0,6.5,1,1002730018,0,6,986859,198983,12d,,101N054,10107,,0,,1,,,18v2,254.1258029,2520.601479
MN,1917,37,110,226,1002,5,9,10030,E059,32,11,1200,1,10,3B,102 WEST 133 STREET,R7-2,,,,C2-4,,,,,,N,M1,8,0,X,GRACE GOSPEL CHAPEL I,8597,12861,12861,0,0,0,0,0,0,6696,2,1,4,0,1,86,99.92,36,47,,0,N,5,0,143100,1038600,143100,1038600,1900,0,0,,,0,0,0,1,1.5,3.44,0,6.5,1,1019170037,0,226,1000162,235430,6a,,111S007,10704,,1019170037,11/23/2011,1,,,18v2,381.9598742,9076.080068
MN,1917,41,110,226,1002,5,9,10030,E059,32,11,1200,1,10,3B,114 WEST 133 STREET,R7-2,,,,,,,,,,N,M1,8,0,,"114 W. 133RD STREET,",1998,4950,990,3960,0,0,0,0,0,990,2,2,3,6,7,20,99.92,20,66,,3,N,5,1,36000,397350,0,0,1910,0,0,,,0,0,0,1,2.48,3.44,0,6.5,1,1019170041,0,226,1000097,235466,6a,,111S007,10704,,0,,1,,,18v2,241.8102539,1933.274494
MN,1948,41,110,257,2001,3,9,10027,L040,28,11,8520,1,10,1A,306 WEST 122 STREET,R7A,,,,,,,,,,N,M1,8,0,,MT OLIVE BAPT CHURCH,5046,5400,5400,0,0,0,0,0,0,5400,2,1,2,0,1,50,100.92,39,94,E,1,N,5,1,105750,478800,0,0,1900,0,0,,INDIVIDUAL LANDMARK,0,0,1,0,1.07,4,0,4,1,1019480041,0,257,997097,233808,6a,,107N083,10706,,0,,1,,,18v2,305.0102129,5056.831222
MN,273,30,103,6,1002,2,1,10002,E015,7,14,7800,1,3,1B,138 HENRY STREET,R7-2,,,,,,,,,,N,M9,8,0,X,TRINITY ASSEMBLY OF G,2383,4679,4679,0,0,0,0,0,0,4679,2,1,2,0,1,23.83,100,24,56,,3,N,5,2,158400,419400,158400,419400,1920,0,0,,,0,0,0,1,1.96,3.44,0,6.5,1,1002730030,0,6,986847,199085,12d,,101N054,10107,,0,,1,,,18v2,254.8000583,2528.870185
MN,273,31,103,6,1002,2,1,10002,E015,7,14,7800,1,3,1B,136 HENRY STREET,R7-2,,,,,,,,,,N,M9,8,0,X,CHINESE MISSIONARY BA,2383,4224,4224,0,0,0,0,0,0,4224,2,1,3,0,1,23.83,100,24,54,E,3,N,5,2,145800,319050,145800,319050,1900,1987,0,,,0,0,0,1,1.77,3.44,0,6.5,1,1002730031,0,6,986823,199083,12d,,101N054,10107,,0,,1,,,18v2,253.0010536,2436.388521
MN,1231,60,107,171,3002,3,6,10024,E074,20,16,3400,1,7,3B,270 WEST 84 STREET,R10A,,,,,,,,,,N,M9,8,0,X,CONG OHAV SHOLOM,2418,9315,5589,3726,0,0,0,0,0,5589,2,1,5,1,4,23.67,102.17,24,102,E,2,N,5,1,504000,890550,504000,890550,1910,0,0,Riverside-West End Historic District Extension I,,0,1,0,0,3.85,10,0,10,1,1012310060,0,171,990217,226063,5d,,107S014,10409,,0,,1,,,18v2,256.881727,2345.028393
MN,350,78,103,22.01,1002,1,2,10002,L018,7,14,7600,1,3,2A,180 STANTON STREET,R7A,,,,,,,,,,N,M1,8,0,X,CONG BNEI JACOB ANSHE,1990,4000,4000,0,0,0,0,0,0,4000,2,1,2,0,1,20,99.5,20,89,,3,N,5,1,91800,247500,91800,247500,1913,0,0,,,0,0,0,1,2.01,4,0,4,1,1003500078,0,2201,988722,201687,12c,,102 005,10201,E-216,0,,1,,,18v2,246.3570039,2127.428185
